"","X.","Player","Club","Po","GP","YC","YCG","RC","RCG","SC","C1H","C2H","F","OF","season"
"200","50th","Marek Heinz","","M",1,0,"0,0",0,"0,0",15,0,0,0,0,2013
"201","1st","Karol Kisel","","M",13,4,"0,3",2,"0,2",314,1,5,15,2,2014
"202","2nd","Vít Beneš","FKJ","D",25,5,"0,2",2,"0,1",809,2,5,21,0,2014
"203","3rd","Emir Zeba","","M",15,4,"0,3",2,"0,1",265,3,3,18,0,2014
"204","4th","Erich Brabec","","D",13,1,"0,1",1,"0,1",916,1,1,8,0,2014
"205","5th","Jan Vorel","","D",15,1,"0,1",1,"0,1",829,0,2,11,0,2014
"206","6th","Jan Trousil","","D",14,6,"0,4",1,"0,1",357,1,6,19,1,2014
"207","7th","Tomáš Marek","JIH","M",22,0,"0,0",1,"0,0",1493,0,1,22,2,2014
"208","8th","Miroslav Slepička","","F",6,1,"0,2",1,"0,2",208,0,2,8,3,2014
"209","9th","Pavel Košťál","","D",14,2,"0,1",1,"0,1",540,1,2,11,0,2014
"210","10th","Adam Varadi","","F",25,6,"0,2",1,"0,0",453,2,5,41,11,2014
"211","11th","Ladislav Volešák","","M",24,6,"0,3",1,"0,0",649,1,6,41,10,2014
"212","12th","Aleš Škerle","","D",27,6,"0,2",1,"0,0",1053,3,4,30,0,2014
"213","13th","Tomáš Rada","","D",24,8,"0,3",1,"0,0",566,2,7,36,0,2014
"214","14th","Tomáš Janotka","BRN","D",24,5,"0,2",1,"0,0",556,3,3,32,2,2014
"215","15th","Pavel Šultes","MBL","F",18,2,"0,1",1,"0,1",590,0,3,12,7,2014
"216","16th","Jan Vošahlík","SLA","M",23,4,"0,2",1,"0,0",357,2,3,25,6,2014
"217","17th","Martin Kuncl","SLO","D",21,6,"0,3",1,"0,0",492,2,5,26,1,2014
"218","18th","Milan Kopic","","D",6,1,"0,2",1,"0,2",308,2,0,10,0,2014
"219","19th","Tomáš Hořava","","M",28,5,"0,2",1,"0,0",750,1,5,49,1,2014
"220","20th","Lukáš Kubáň","","D",7,4,"0,6",1,"0,1",232,1,4,13,0,2014
"221","21st","Marcel Gecov","","M",25,8,"0,3",1,"0,0",838,2,7,74,0,2014
"222","22nd","Václav Ondřejka","","F",18,4,"0,2",1,"0,1",341,2,3,13,10,2014
"223","23rd","Jan Krob","TEP","D",24,9,"0,4",1,"0,0",479,3,7,27,4,2014
"224","24th","Milan Nitrianský","","D",23,4,"0,2",1,"0,0",767,1,4,24,2,2014
"225","25th","Filip Novák","","D",27,3,"0,1",1,"0,0",929,2,2,24,0,2014
"226","26th","Michal Frydrych","FCB","D",28,5,"0,2",1,"0,0",887,0,6,29,1,2014
"227","27th","Michal Ďuriš","","F",25,5,"0,2",1,"0,0",484,3,3,34,5,2014
"228","28th","Claude Roland Videgla","","M",1,1,"1,0",1,"1,0",62,0,2,1,0,2014
"229","29th","Vladan Milosavljev","","M",9,1,"0,1",1,"0,1",328,1,1,9,4,2014
"230","30th","Jakub Jugas","PRI","D",23,2,"0,1",1,"0,0",1163,0,3,38,3,2014
"231","31st","Jan Baránek","","D",22,8,"0,4",1,"0,0",497,4,5,23,0,2014
"232","32nd","Michael Lüftner","","D",9,1,"0,1",1,"0,1",629,1,1,15,1,2014
"233","33rd","Jan Javůrek","OLO","M",24,2,"0,1",1,"0,0",1249,2,1,30,2,2014
"234","34th","Isaac Sackey","LIB","M",23,9,"0,4",1,"0,0",540,8,2,39,0,2014
"235","35th","Josef Hnaníček","ZNO","D",28,7,"0,3",1,"0,0",544,2,6,33,0,2014
"236","36th","Miloš Reljič","","M",22,5,"0,2",1,"0,0",484,3,3,39,3,2014
"237","37th","Tomáš Vengřinek","FCB","D",14,3,"0,2",1,"0,1",374,2,2,16,0,2014
"238","38th","Filip Kaša","FCB","D",7,1,"0,1",1,"0,1",601,0,2,12,0,2014
"239","39th","Pavel Horváth","","M",25,4,"0,2",0,"0,0",555,1,3,32,0,2014
"240","40th","Jiří Štajner","","F",23,1,"0,0",0,"0,0",1257,1,0,23,3,2014
"241","41st","Benjamin Vomáčka","","D",8,1,"0,1",0,"0,0",426,1,0,7,1,2014
"242","42nd","Martin Lukeš","","M",14,4,"0,3",0,"0,0",212,1,3,6,1,2014
"243","43rd","Marek Heinz","","M",8,4,"0,5",0,"0,0",263,1,3,7,6,2014
"244","44th","Lukáš Pleško","","D",10,1,"0,1",0,"0,0",546,0,1,6,0,2014
"245","45th","Tomáš Čížek","","OM",27,2,"0,1",0,"0,0",1103,1,1,26,4,2014
"246","46th","Štěpán Vachoušek","","M",29,3,"0,1",0,"0,0",925,0,3,25,2,2014
"247","47th","Radoslav Kováč","","D",24,1,"0,0",0,"0,0",1830,0,1,17,1,2014
"248","48th","Petr Švancara","","F",16,2,"0,1",0,"0,0",509,1,1,12,4,2014
"249","49th","Libor Došek","","F",21,6,"0,3",0,"0,0",753,1,5,47,24,2014
"250","50th","Patrik Gedeon","","M",27,3,"0,1",0,"0,0",1037,2,1,24,0,2014
"251","1st","Tomáš Zápotočný","","D",28,3,"0,1",2,"0,1",874,1,4,32,1,2015
"252","2nd","Vladimír Kukoľ","","M",25,8,"0,3",2,"0,1",479,3,7,52,0,2015
"253","3rd","Štěpán Vachoušek","","M",14,3,"0,2",1,"0,1",379,1,3,11,2,2015
"254","4th","Marek Matějovský","ACS","M",24,5,"0,2",1,"0,0",622,1,5,35,0,2015
"255","5th","Ivo Táborský","","F",15,3,"0,2",1,"0,1",363,0,4,18,2,2015
"256","6th","Jakub Mareš","DUK","F",27,4,"0,1",1,"0,0",625,2,3,35,15,2015
"257","7th","Radek Mezlík","SLO","D",9,3,"0,3",1,"0,1",413,3,1,13,0,2015
"258","8th","Jiří Kladrubský","CEB","D",13,5,"0,4",1,"0,1",401,3,3,18,1,2015
"259","9th","Tomáš Rada","","D",27,9,"0,3",1,"0,0",628,4,6,53,0,2015
"260","10th","Jan Vošahlík","CEB","M",13,4,"0,3",1,"0,1",385,2,3,21,3,2015
"261","11th","Tomáš Krbeček","PRI","M",10,1,"0,1",1,"0,1",71,1,1,6,0,2015
"262","12th","Marek Jungr","","M",17,2,"0,1",1,"0,1",622,2,1,26,4,2015
"263","13th","Marek Plašil","","D",15,3,"0,2",1,"0,1",906,1,3,12,1,2015
"264","14th","Tomáš Vondrášek","TEP","D",25,5,"0,2",1,"0,0",671,2,4,23,1,2015
"265","15th","Jan Hošek","TEP","D",7,2,"0,3",1,"0,1",383,0,3,13,0,2015
"266","16th","Milan Nitrianský","","D",21,2,"0,1",1,"0,0",295,0,3,14,0,2015
"267","17th","Juraj Križko","HKR","M",18,4,"0,2",1,"0,1",631,1,4,30,1,2015
"268","18th","Martin Husár","","D",2,0,"0,0",1,"0,5",75,1,0,1,0,2015
"269","19th","Jiří Fleišman","LIB","D",26,5,"0,2",1,"0,0",729,2,4,24,0,2015
"270","20th","Tomáš Malínský","HKR","M",22,3,"0,1",1,"0,0",437,1,3,21,4,2015
"271","21st","Miloš Karišik","","D",16,7,"0,4",1,"0,1",379,1,7,30,0,2015
"272","22nd","Jaroslav Machovec","","D",19,4,"0,2",1,"0,1",518,1,4,20,2,2015
"273","23rd","Josef Čtvrtníček","BRN","F",7,0,"0,0",1,"0,1",229,0,1,9,0,2015
"274","24th","Petr Tlustý","JIH","D",19,2,"0,1",1,"0,1",657,1,2,17,1,2015
